author
Nicole Holofcener
Sebastián Lelio
Stephen Poliakoff
Jeremy Seifert
Emily Ting
John Sayles
Steve Worland
Kenneth A. Carlson
Bobcat Goldthwait
Christopher Dillon Quinn
Stuart Murdoch
Julia Sweeney
Jerome Courshon
Larry Cohen
Ronald F. Maxwell
Bill Condon
Jamel Belmahi
Jamie Uys
Michael Mason
Rainer Werner Fassbinder
Francis Lee
Mark Bomback
Wataru Mimura
Ishirô Honda
Hideaki Anno
Kazuki Omori
Kazuki Omori
Takeshi Kimura & Shinichi Sekizawa
Casper Andreas
Martin Brest
Ted Melfi
Victoria Negri
Ruth Prawer Jhabvala
Dennis Feldman
Brian Perkins
Brian Clemens
Sam de Jong
Allison Burnett
Sidney Howard
Alex Gibney
Wilson Coneybeare
Dennis Dortch
Marianna Palka
Mike Wallis
Johnny O'Hara
Julio DePietro
Chris McCoy
Andrew Niccol
Josh Stolberg
William Boyd (II)
Mitch Markowitz
Michael Bortman
Jacob Tierney
Jake Paltrow
Kelly Masterson
Eric Roth
Ian McEwan
Howard Himelstein
Marc Klein
Harry Kurnitz
Arnold Schulman
Angus MacLachlan
Justin Chon
Rob Lieber
Nicholas Wrathall
Dennis Potter
Pier Paolo Pasolini
Sebastian Gutierrez
Sandra Goldbacher
Kevin Lehane
James C. Strouse
Allison Anders
Brad J. Silverman
Ron Morales
Prince
Nick Schenk
William A. Drake
Damien Chazelle
Jeremy Drysdale
Paul Weitz
Nunnally Johnson
Isao Takahata
Ken Finkleman
Robert Downey Sr.
Charles Chaplin
Lenore J. Coffee
Sam Catlin
John Hughes
William Anthony McGuire
Mark Frost
Peter Weir
Alan Burnett
Frank Darabont
Jeremy Saulnier
Joel Hershman
Patrick Robert Young
Bill Forsyth
Chris Columbus
Steve Collins
William Nicholson
Robert Westerby
Jeff Maguire
Leon Ford
Donald E. Westlake
Pegi Vail
Werner Herzog
Edward Burns
Greg Harrison
Adriana Maggs
Stephen Susco
Mark Steven Johnson
Mark Steven Johnson
Nana Ekvtimishvili
James Gunn (II)
William Rose
Jeff Daniels
Atom Egoyan
Pat Mills
William Davies
Larry Cohen
Irwin Winkler
Sion Sono
Leon Capetanos
Rashaad Ernesto Green
Eric Blakeney
Matthew Bright
Joko Anwar
Leon Uris
William Phillips
Jason Lei Howden
Elias
Damien Chazelle
Benedikt Gollhardt
William McGregor
Charles Robert Carner
Todd Stephens
Jasmine Dellal
Rob Zombie
Nadav Lapid
Larry Fessenden
Rafael Moreu
Lukas Feigelfeld
Jean-Luc Godard
Preston Sturges
Michael Weller
Bill Plympton
Adam Wierzbianski
Craig Rosenberg
Beverly Cross
Heather Graham
Biyi Bandele
Don Michael Paul
John Gay
Miles Doleac
Tommy Lee Wallace
Daniel Farrands
Michael Blankfort
Christian Sparkes
Matthew Read
Robert Festinger
Jonathan Jakubowicz
Nicholas T. Proferes
Joseph B. Vasquez
John Wexley
Woody Allen
Claudia Allen
Hannah Gadsby
Hannibal Buress
Thomas Harris
Peter Hyams
Moss Hart
David Tillman
A.J. Carothers
Brad Anderson
Jared Stern
Alice Rohrwacher
Daniel Waters
Joe Swanberg
Scott Lobdell
Don Roos
Ragnhild Tronvoll
Ron Cicero
Michael Almereyda
Josh Radnor
Kikumi Yamagishi
Shinobu Hashimoto
Alec Gillis
Brian Nelson
Noel S. Baker
Paul Thomas Anderson
Graham Yost
Sean Nalaboff
Chuck Pfarrer
Andy Sidaris
Scott Roberts
John Gatins
Ilya Naishuller
Richard Stanley
Ernie Fosselius
William Jennings
Eddie Murphy
Koji Fukada
Colin Higgins
Keith E. Wright
William Goldman
Gary Young
Sophie Huber
Steve Kloves
Steve Kloves
Steve Kloves
Steve Kloves
Steve Kloves
Michael Goldenberg
Steve Kloves
Steve Kloves
David Ayer
James Toback
Marc Meyers
Hasan Minhaj
Leigh Brackett
Adam Green
Adam Green
Tommy Stovall
Mark Jude Poirier
Andrew Marcus
Andrew Barrer
David Berenbaum
Charles Beaumont
Brian King
Jon Schnitzer
Christopher Scott Cherot
Roberta Grossman
Bent-Jorgen Perlmutt
Benjamin Christensen
Lem Dobbs
Spike Lee
Scott Parker
Brian Hohlfeld
Theresa Marie
Elle Callahan
Pen-Ek Ratanaruang
Timo Tjahjanto
Lorenzo DeStefano
James D. Parriott
Thomas C. Ryan
Laurie Anderson
Elisabeth Perceval
John Hill
Nora Ephron
Philip Ridley
Peter Davis
William Goldman
Joe Eszterhas
Rob Thompson
Guðmundur Arnar Guðmundsson
William Goldman
Ruth Prawer Jhabvala
Daniel Waters
Scott Reynolds
Samson Raphaelson
Charles Purpura
Michael Cimino
James Mangold
Ralph Bakshi
Jonathan Kesselman
John Cameron Mitchell
Thomas Heise
Jeff Eastin
Joseph Infantolino
Duke Tran
Randall Frakes
Stephen Cognetti
Wes Miller
Taylor Sheridan
J.T. Petty
Kevin Miller
Guillermo del Toro
Andrew Cosby
Kat Candler
Pascal Trottier
Susan Isaacs
Ernest Lehman
John Buffalo Mailer
Sarah Koskoff
Adam Reid
Ron Oliver
Clive Barker
Peter Atkins
Gary J. Tunnicliffe
Jacques Richard
Hal Hartley
Albert Torres
Spike Jonze
Charlie Peters
Don Tait
Bill Walsh
Ron Clements
Aubrey Wisberg
Darko Lungulov
Adrian García Bogliano
Michael Seitzman
Ari Aster
Angad Bhalla
Matías Piñeiro
Kenan Harris-Holley
Joan Micklin Silver
Steve Viksten
Douglas Tirola
Mary McDonagh Murphy
Noam Gonick
Cathy Randall
John Borowski
Michael Lanahan
John Fusco
Peter Vanderwall
Billy Mackinnon
Ernest K. Gann
Lisa Cholodenko
Tarell Alvin McCraney
Kim Fuller
Ernest Tidyman
Amy Jump
Peter Barsocchini
Peter Barsocchini
John Patrick
John Singleton
Dana Brown
Frank Cottrell Boyce
Roger Hedden
Wes Craven
Sion Sono
Yuriy Korotkov
Marguerite Duras
Charles Lederer
Alan Bennett
Josh Olson
Dax Shepard
Ricky Blitt
Kevin Bisch
John J. McLaughlin
Skip Woods
Jules Bass
David Mamet
Macon Blair
Louis Sachar
Matthew Holt
Andrew W. Marlowe
Woody Allen
Floyd Mutrux
Paul Bernbaum
Etan Cohen
Tom Schulman
Leos Carax
Alejandro Jodorowsky
Antonio Macia
Jono Oliver
Hallie Meyers-Shyer
Vince Gilligan
Steven Mark Friedman
Paul F. Ryan
Sylvester Stallone
Patrick Cirillo
Robb White
Greg Campbell
John Sayles
James Bird
Andrew Bergman
Leonard Kastle
Clancy Carlile
Max Emerson
Mark Herman
Vanessa Taylor
Stephanie Mickus
Keith Bunin
Lucinda Whiteley
Tara Subkoff
Jimmy Sangster
Dave Callaham
Alec Guinness
Paddy Chayefsky
Eli Roth
Michael D. Weiss
Mathieu Turi
Kaitlin McLaughlin
Will Reichelt
Pam Brady
Elijah Bynum
Drew Pearce
Craig Rosenberg
Tony Richardson
Heidi Ferrer
Ben Young
Edward Anhalt
Ingmar Bergman
David Hare
Eric Heisserer
Ethan Wiley
David Loucka
Mel Dinelli
Le-Van Kiet
Rob Zombie
David Duchovny
Edward T. Lowe
Andrey Konchalovskiy
David Mamet
Kim Bora
Bertrand Bonello
Mark Waters (VIII)
Walter Bernstein
Alastair Orr
Reginald Hudlin
Gerard Johnstone
Cleopatra Coleman
James L. Brooks
Dustin Lee Abraham
Aleksei Popogrebsky
Brooks McLaren
Annmarie Morais
Caitlin Moran
Jerry Rothwell
Doris Dörrie
Neena Beber
Joe Angio
Jane Anderson
Matthew Cooke
Nunnally Johnson
George Axelrod
Andrews Jenkins
Gina Leibrecht
Harry Kurnitz
David Swift
Dean DeBlois
Dean DeBlois
Ruth Prawer Jhabvala
Hayao Miyazaki
Brigitte Berman
John Logan
Oren Moverman
Tom Six
Nicholas Meyer
Justin Kerrigan
Lynn Shelton
Saverio Costanzo
Laurence Coriat
Taika Waititi
Joshua Locy
Reshef Levi
Morgan J. Freeman
John Cassavetes
Craig Brewer
Adam Minarovich
Lorene Scafaria
Richard Nelson
Paul Gross
Djibril Diop Mambéty
Caveh Zahedi
Clare Lewins
Dave LaMattina
Steve Burgess
Paul Feig
Julián Hernández
Christophe Charrier
Michael Lloyd Green
Oz Perkins
Ross Boyask
Ross Boyask
Emma Jensen
Paul Sloan
Louis Garfinkle
Tyler Perry
Graham Reznick
Heidi Thomas
Paul Laverty
Jason Lapeyre
David W. Ross
Macon Blair
Aline Brosh McKenna
Stuart Beattie
Dan Mazer
Master P
Nia Vardalos
Joe Kelly
Xavier Dolan
Kevin Williamson
Darnell Martin
Wendy Kesselman
Louis Vittes
Bill Plympton
Mike Cahill
DeWitt Bodeen
Marc Abraham
Devon Graye
Jirí Menzel
Meir Zarchi
Jason Fuchs
Steven Rogers
Josh Lobo
Kris Rey
Conor McPherson
Ava DuVernay
Mark Edwin Robinson
Lynn Chen
Hirokazu Koreeda
Lauryn Kahn
Aubrey Solomon
Eric Stanze
Stanford Sherman
Hadley Davis
James Schamus
Sakichi Satô
Craig Mazin
Bill Plympton
Robert E. Sherwood
Bryan Barber
David Sherwin
Shauna Cross
Joan Carr-Wiggin
Eric Schaeffer
Sophie Fillières
Burr Steers
Paolo Sorrentino
Alicia Scherson
Michael D. Weiss
James L. Brooks
Richie Mehta
Trevor Preston
Adrienne Shelly
Olivier Masset-Depasse
Franc. Reyes
Nick Gomez
Howard B. Kreitsek
Anthony Chen
Yvan Attal
Keenen Ivory Wayans
Galley Alexander Molina
Bruce Wagner
Herb Gardner
Pedro Almodóvar
Courtney Lilly
Robert Altman
Debra Eisenstadt
Ol Parker
Christopher Hampton
Natasha Kermani
David Russo
Barbara Benedek
Jon Dabach
Bernard Rose
Paul Hoffman
Daniel Ragussis
Oliver Parker
Nathan Catucci
Paul Kampf
Sarah Kernochan
Doug Taylor
Anders Thomas Jensen
Sam Boyd
Ti West
Lake Bell
Paul Rudnick
Hong Sang-soo
Martin McDonagh
David F. Shamoon
Matt Rager
Peter Strickland
Jeremy Lovering
Paul Weitz
Wendell Mayes
Hal Fimberg
Ann Peacock
Allen Wolf
Tom Barry
Brian Savelson
Phil Grabsky
James Cullingham
Phil Grabsky
Petra Seeger
Phil Grabsky
Charlie Stratton
Neil LaBute
Patrick Wang
João Moreira Salles
Angelina Jolie
Jon Kasdan
Jeff Maguire
Martina Kudlácek
Jacqueline Zambrano
Juan Carlos Rulfo
Nagisa Oshima
Paul Haggis
Joshua Close
Andrew Niccol
Noel Coward
Joss Whedon
Ronnie Christensen
Sharon Maguire
Christopher Nolan
Anaïs Barbeau-Lavalette
Pascal Laugier
Jordan Katz
Chloe King
Nicholas Corea
Brad Bird
Brad Bird
Keero Singh Birla
Melissa Mathison
David Koepp
Jeffrey Boam
James Schamus
Eric Chaney
Ruba Nadda
Joshua Caldwell
Dario Argento
Maya Forbes
Jamie Meltzer
Quentin Tarantino
Matt Spicer
Paul Thomas Anderson
Andrew Crabtree
Felix Chong
David Lindsay-Abaire
Isobel Lennart
Glenn Gers
Michael Wolk
John Byrum
Gavin Lambert
Andy Callahan
Brian Stewart
Aaron Fisher
Leigh Whannell
Leigh Whannell
Leigh Whannell
Ron Anderson
Mark Bomback
Woody Allen
Mark O'Rowe
Henry Bean
Eric Warren Singer
Thomas Ward
Neil Burger
Pablo Solarz
Philip Gröning
Patrick Coyle
Werner Herzog
Mark Jonathan Harris
Aaron Harvey
Patricia Rozema
Werner Herzog
John Swetnam
Sean Penn
Keith Thompson
Travis Zariwny
Jhonen Vasquez
David Kajganich
Nicholas Meyer
Ken Hixon
Anthony Peckham
Brad Gann
Adam Brooks
Charles Officer
Edmond Wong
Edmond Wong
Jennifer Westfeldt
Henry Jaglom
Mohammad Rasoulof
Justin Theroux
Woody Allen
Bess Wohl
Ann Turner
Jon Stewart
Gaspar Noé
Matt Cooper
Peter Harness
Donald Martin
Elaine May
Drew Fellman
Wes Anderson
Paul Rudnick
Billy O'Brien (III)
Jennifer M. Kroot
Gary Dauberman
Trey Edward Shults
Eliza Hittman
David Robert Mitchell
Sasha Gordon
Isobel Lennart
Michelle Morgan
Robert Riskin
Larry Cohen
Jesse Wigutow
Garson Kanin
Jerome Bixby
Lone Scherfig
Erik Jendresen
Todd Berger
Larry Cohen
Michael Dowse
Charles M. Schulz
Keith Reddin
Alison Chernick
Vladimir Bogomolov
Steve Collins
Philippe Claudel
Jayro Bustamante
Bradley Rust Gray
Dick Cusack
Bob Glaudini
Thomas Dekker
Jennifer Deaton
Christopher McQuarrie
Jared Rivet
Preston Lacy
Massy Tadjedin
Noah Oppenheim
Ami Canaan Mann
Joe Eszterhas
Jafar Panahi
Joe Eszterhas
Brett C. Leonard
Howard Goldberg
Satyajit Ray
Josh Mond
Carter Smith
Andrew Davies
Moira Buffini
Jarret Kerr
Lorenz Knauer
David M. Rosenthal
Shagufta Rafique
John Patrick Shanley
Alison Tilson
Carlos Reygadas
Todd Farmer
Darren Stein
Michael De Guzman
Kevin Smith
Jaison Starkes
Tamra Davis
Chantal Akerman
Victor Salva
Victor Salva
Victor Salva
Ruth Prawer Jhabvala
Paul Rudnick
Iram Haq
Ryan Landels
Jen Kirkman
Mary Agnes Donoghue
Christian Petzold
Rick Cleveland
Jerry Seinfeld
Kevin Smith
Paul Tarnopol
Daniel Ferguson
Ralph Ziman
Robert Ben Garant
Fernando Guzzoni
Ian Driscoll
Dennis Lee (III)
Miguel Llansó
Ira Berkow
Jim Gaffigan
John Ridley
Barry Levinson
Mamoru Oshii
Sheng Ding
Mitchell Kezin
Ajmal Zaheer Ahmad
Nijla Mu'min
Ricki Stern
Kieran Turner
Matt Whiteley
Norman Wexler
Gary Hawkins
David Spade
Elmore Leonard
John Scott Shepherd
Julien Temple
Frank Whaley
John Patrick Shanley
John Payson
Mark Atkins
Don Coscarelli
Kurt Markus
John Mulaney
John Mulaney
Jeff Lowell
John Waters
Derek Kolstad
William Davies
Dalton Trumbo
Philip Yordan
William Ford Gibson
Tom DiCillo
Scott Silver
Mark Bussler
Dennis Yares
Derrick Borte
Frank Deese
Matthew Mishory
Jeff Baena
Anthony Ragnone II
John Ehle
Simon Reade
David O. Russell
Jenni Olson
Declan O'Brien
Christian Carion
Todd Graff
Liu Heng
Alejandro Brugués
Roderick M. Spencer
Judd Apatow
Hossein Amini
Kuo Sin Ong
Tom Edge
Mirrah Foulkes
Chad Crawford Kinkle
Daniel DiMarco
Pappi Corsicato
Nora Ephron
Harmony Korine
Jacob Hamilton
Joel Hopkins
Angus MacLachlan
Ulla Isaksson
Justin Monjo
Diablo Cody
Ted Tally
Ole Bornedal
Henry Jaglom
Patrick Breen
Leslie Harris
Allan Burns
Chaz Thorne
"Adam ""Tex"" Davis"
Ron Shelton
Marshall Karp
Sam Harper
Michael Elliot
Stan Williamson
Maria Ramos
Robert Tannen
Alan Burnett
Heath Corson
Heath Corson
Bradley Allenstein
Christopher Kyle
Gary Scott Thompson
Scott Prendergast
Gregg Araki
Amos Gitai
James M. Hausler
Rupert Jones
Mirai Konishi
Robert Mark Kamen
Robert Mark Kamen
Nicholas DiBella
Vijay Lalwani
Kief Davidson
Wayne Roberts
Katt Williams
Lodge Kerrigan
Jean-Luc Godard
Stuart Blumberg
Michael LeSieur
Amy Lowe Starbin
Troy Kennedy Martin
A.B. Guthrie Jr.
Claudia Myers
Priyadarshan
Cyril Tuschi
Pema Tseden
Jeff Wadlow
David S. Goyer
Dimitri Logothetis
Susan Koch
John Stockwell
Michael Part
Brett Morgen
Knate Lee
William Brookfield
Pedro Almodóvar
Sara Jordenö
Takeshi Kitano
Quentin Tarantino
Quentin Tarantino
Steven Gomez
James McFarland
James Mark
Steven Palmer Peterson
Ryan Lonergan
Daniel Handler
John Niven
Harold Medford
Tracy Letts
Zachary Hansen
Jay Simms
Takuji Ushiyama
Bruce Robinson
Damien Power
Taran Killam
Walon Green
Kelly Masterson
Kara Lindstrom
John Cassavetes
Nick Berardini
Roger Avary
Hossein Amini
Daniel Casey
David H. Steinberg
Chris Chuang
Felix Thompson
Mike Cahill
Daniel Boulanger
Nicholas St. John
Charlie Higson
Frank R. Pierson
Joe Penhall
David S. Ward
Wayne Conley
Casey Robinson
Takashi Hasegawa
Bill Condon
Vanessa Parise
Shane Black
Alexandra Cassavetes
Leonard Schrader
Ty Lieberman
Ann Peacock
Brian Cox (II)
David Benioff
Sebastian Dehnhardt
Terrence Malick
George A. Romero
Jennifer Reeder
Rian Johnson
Judd Apatow
Robert Buckner
Jonathan Tropper
Zdenek Sverák
Sebastian Junger
Charles Leavitt
Robert Benton
Philip Ridley
Charlie Peters
Ingmar Bergman
Tom Rogers
Stanford Sherman
Ralph Farquhar
Will Aldis
Jeon Cheol-Hong
Steve Oedekerk
Brett Morgen
Michael Gilio
Jorge Semprún
Luis Valdez
Catherine Breillat
Francis Veber
Jean-Luc Godard
Lucrecia Martel
David Foenkinos
Luc Besson
Axelle Ropert
Mathieu Kassovitz
Damien Chazelle
Jaime Bayly
Eugène Green
Steve Martin
Luchino Visconti
Jason Reitman
Lewis Colick
Rob Morton
Charles Dance
Jo Jo Henrickson
Greta Gerwig
Luther Davis
M. Night Shyamalan
Frank LaLoggia
Emmanuel Mouret
Peter Ustinov
Alice Birch
Curtis Burch
Andrea Seigel
Ken Russell
David Auburn
Tony Kaye
David E. Kelley
David Mamet
Ross Partridge
Martin Zandvliet
George A. Romero
Tom Zuber
David Mamet
Andrew Bovell
Dean Georgaris
Charles Sturridge
Hugo Butler
Roberto Marinas
M. Night Shyamalan
Shane Black
Jessica Yu
Joel Hopkins
Vlad Yudin
Gus Van Sant
Rodrigo García
Whit Stillman
Robert Towne
Mark Peploe
J.B. Priestley
Wes Craven
Frank S. Nugent
Walter Hill
Barry Avrich
Adam Forgash
Neil Simon
Álvaro Rodríguez
Michael Hoffman
Paul Schrader
James Poe
Lixin Fan
Harold Pinter
Peter S. Beagle
Dan Fogelman
Andrew L. Stone
Tom Dolby
Alain Robbe-Grillet
Jean Vigo
Mark Andrus
Eric Stolze
Robert Benton
C. Jay Cox
Kamal Ahmed
Jason Ruscio
Lisa Cholodenko
Xavier Dolan
T.E.B. Clarke
Pedro Almodóvar
Nick Cave
D.V. DeVincentis
J.J. Connolly
Tim Kirkman
Joey Hartstone
Denys Arcand
Annemarie Jacir
Michelangelo Antonioni
Jean-Pierre Melville
Jean-Pierre Melville
Aki Kaurismäki
Harry Kleiner
Asghar Farhadi
Hanif Kureishi
James Dale Robinson
Michael Schiffer
Andrew Haigh
Sarah Kernochan
Martin Papazlan
Seth M. Sherwood
David J. Schow
Jo Swerling
Mike Figgis
Samuel Maoz
Ben Hickernell
Thomas Ikimi
Adrian Bol
Brian Helgeland
Richard Matheson
King Hu
John Posey
Richard Blackburn
Serge Bromberg
Julian Barry
Luc Besson
Lian Lunson
Mark Jones
David Dubos
Steven Ayromlooi
Harris Wilkinson
Suzanne Keilly
Xavier Dolan
John Patrick
Leslie Jones
Werner Herzog
Antonino D'Ambrosio
Victoria Strouse
Matt Reeves
Jonathan Penner
John Ajvide Lindqvist
Shane Black
Richard Wesley
Scott Foley
Troy Beyer
Howard Koch
Iris Yamashita
Danishka Esterhazy
Chris Marker
Andrey Zvyagintsev
Jeb Stuart
Jenna Laurenzo
Antonio Tublen
John Sayles
Josh Radnor
Stephen Jeffreys
Barry Levinson
Ilya Chaiken
Kari Skogland
Michael De Forrest
Noah Hawley
David Magee
Luke Davies
Dennis Foon
Jeff Baena
John Milius
Mark Andrus
Emil Stern
Evan Dunsky
Buddy Giovinazzo
John Hodge
Daniel Schechter
Joe McClean
Donald Ogden Stewart
Marc Lawrence (II)
Justin McConnell
Ron Koslow
Lance Daly
Craig Bolotin
Casey Affleck
Paul Schrader
Robert Hall
Eric Heisserer
Lauren Miller
Hirokazu Koreeda
Robert Mockler
Gregory J. Read
Abbas Kiarostami
Amol Gupte
Frank Whaley
Laura Esquivel
Bruno Dumont
Axel Buresch
Robert Rossen
Hong Khaou
John Sayles
Charles Chaplin
Lem Dobbs
Jim Jarmusch
Tony Kushner
John Romano
Jeremy Drysdale
Tom Rogers
Matthew Michael Carnahan
David Rayfiel
Ruth Leitman
Alex Ross Perry
Khalil Sullins
Ryan Eggold
Charles Eastman
Sara Colangelo
Philippa Goslett
Calder Willingham
Jackie Chan
Elgin James
Michael Boston
Werner Herzog
Eli Craig
Karin Albou
Nicole Conn
James Gray
Courtney Balaker
Patrick Sheane Duncan
Jessica Barondes
Zach Clark
Mark Herman
Nia DaCosta
Tom Mankiewicz
Ben Affleck
Jorge Gaggero
Julianna Lavin
María Mínguez
Brian A. Metcalf
Tom DiCillo
David Trueba
Christopher Monger
Bryce Kass
Stephen Kay
Werner Herzog
George Gallo
Bill Forsyth
Guy Ritchie
Steven Knight
Steven Baer
John Patrick Kelley
Rebecca Blunt
David Zelag Goodman
Tim Kirkman
William Monahan
Julien Temple
Matt Brown
Thorin Seex
Peter Berg
B.J. Nelson
Alan Sillitoe
Dalton Trumbo
Todd Robinson
James C. Strouse
Everett De Roche
Edward Hope
Shane Black
Erik Bloomquist
Savi Gabizon
Gayle Kirschenbaum
Assaf Bernstein
Amy Heckerling
Michael Crichton
Albert Brooks
Paul Laverty
Andrzej Krakowski
Jerry Rapp
Scott Frank
Larry Doyle
Rian Johnson
Carl Cramer
Peter Facinelli
Darius Marder
Marco Bellocchio
Richard Brooks
Clive Barker
Peter Brook
Andrew Niccol
Stacy Peralta
Nick Enright
Thom Andersen
Valerie Weiss
Tennessee Williams
Judith Thompson
Liam O Mochain
Christine Triano
Robert Riskin
Rotimi Rainwater
Akiva Goldsman
Trey Nelson
Sofia Coppola
Neil Simon
Ryan Gosling
Larry Blamire
Katharine O'Brien
Benjamin Chapin
Louis C.K.
Gaspar Noé
Imtiaz Ali
Richard Curtis
C.M. Talkington
Gina Prince-Bythewood
Woody Allen
Richard Kwietniowski
Dylan Otto
Valerie Breiman
Claude le Pape
Nicole Jefferson Asher
Ronald Harwood
John Patrick
Jennifer Schuur
Rainer Werner Fassbinder
John Maybury
Ate de Jong
Theodore Witcher
Gordy Hoffman
Robert Buckner
Tom Malloy (II)
Dale Launer
Mark Jacobson
Shirley Barrett
Christophe Honoré
Jeff Franklin
Erich Segal
Dean Craig
Arnold Schulman
Andy Bellin
Nik Fackler
Hannah Shakespeare
James Hacking
Kenneth Branagh
Dean Young
Stephen Langford
Jeff Nichols
Fernando León de Aranoa
Keenen Ivory Wayans
Kevin McMullin
Ian Markiewicz
Antonio Serrano
Gonzalo Calzada
Ronan Bennett
Roger Avary
Jason Smilovic
Adam Resnick
Lynn Ahrens
Luc Besson
Andrew Levitas
Richard Brooks
Paul Auster
Donna Kanter
Leo Rosten
Philip John Taylor
Art Jones
Stewart Thorndike
David Henry Hwang
Celia Rowlson-Hall
Scotty Landes
Noboru Iguchi
Jason Keller
Scott Kosar
Tom Matthews
Richard Price
Amy Sewell
Vicente Aranda
Terry Hayes
Karim Aïnouz
Jon Favreau
William Ivory
James D'Arcy
Tyler Perry
Tyler Perry
Tyler Perry
Josephine Decker
Park Eun-kyo
Tom Ropelewski
Alan Bennett
David Trueba
Peter Mullan
John Scott 3
Rebecca Miller
Woody Allen
Reid Carolin
Bernard C. Schoenfeld
Jeremy Workman
Paul Thomas Anderson
Alex Holmes
Jillian Schlesinger
Horton Foote
Matthew Brown
Michael Sloane
David S. Ward
John Warren
Cleven Ioham
Rob Williams
Duane Adler
Josh F. Huber
Linda Woolverton
Jayson Rothwell
Kevin Smith
Hank Nelken
Cynthia Cidre
Paul Zindel
Ol Parker
Mike Binder
Jack de Witt
Adrian Mitchell
Philip Jayson Lasker
Lee Jeong-beom
Jonathan Demme
Nunnally Johnson
Robert J. Flaherty
Dale Wasserman
Barry Levinson
Pablo F. Fenjves
Brian Helgeland
Ramin Bahrani
Tess Morris
Paul Mayersberg
Dziga Vertov
Isabelle Holland
Aki Kaurismäki
Stephen Belber
Kenneth Lonergan
William Nicholson
Lars von Trier
Norman Wexler
Jacob Forman
Paul Logan
Brian DeCubellis
Hildegarde Stadie
Eric Eason
Michael Roberts
Hal P. Warren
John Lafia
Jim Van Bebber
J. Davis
Hans Rodionoff
Mohammad Rasoulof
Jan Sardi
Bruce Wagner
Jonathan Frank
William Goldman
Paul Rudnick
Larry Clark
Kenneth Lonergan
J.C. Chandor
Noah Baumbach
Maria Bamford
Joshua Marston
Cory James Krueckeberg
Willard Carroll
Tony Girardin
Daniel MacIvor
Sarah Kernochan
Michael Almereyda
Peter Landesman
Frantisek Vlácil
Stirling Silliphant
Jay Presson Allen
Mayo Simon
Noah Baumbach
Janet Kovalcik
Jean-Luc Godard
Sergio G. Sánchez
Neil Simon
Geoff Marslett
Jonathan Gems
Larry Buchanan
Sean Durkin
Pascal Laugier
Scott McPherson
Janelle Balnicke
Anthony Jaswinski
Beau Willimon
Christopher Hampton
Ramin Serry
Ring Lardner Jr.
Hwang Jo-yun
Floyd Byars
Kitty Chalmers
Stephen Belber
Woody Allen
Jeff Abugov
Michele Josue
Sherry White
Ken Scott (V)
Pankaj Kapur
Leos Carax
William Goldman
Jessica Edwards
Menno Meyjes
Neil Simon
Thomas Nordseth-Tiller
Beau Thorne
Scott Conditt
Christopher Yost
James D. Scurlock
Ross LaManna
Stephen King
Lucky McKee
Cherien Dabis
Timo Tjahjanto
Matias Caruso
Noel Langley
Stephen Burke
T.S. Nowlin
T.S. Nowlin
Daniel Noah
Lawrence Roman
Peter Ettedgui
Jesse Andrews
Miranda July
Jojo Moyes
Pip Karmel
Elena Soarez
Alex Gibney
Jacob Estes
Tina Fey
Barry Jenkins (III)
Jonas Carpignano
Jonathan Raymond
Tyler Perry
Keith Bearden
Blair Treu
Eric Forsberg
Ace Hannah
Tim van Dammen
Lars von Trier
Woody Allen
Alain Resnais
Michael Blieden
Christopher Nolan
Emmanuel Finkiel
Robin Swicord
Alexandre O. Philippe
Tim Sutton
Niall Murphy
Emilio Estevez
Ed Solomon
James K. McGuinness
Scott Marshall Smith
Peter Straughan
P.J. Hogan
Ben Maddow
Rodrigo H. Vila
Rainer Werner Fassbinder
Michael Radford
Andrew Litvack
Scott Caan
June Roberts
Ron Lazzeretti
Josh Sternfeld
Oliver Butcher
Gerald DiPego
Adrian Hodges
Whit Stillman
Leah McKendrick
Guillaume Renard
George Armitage
David Frankel
Michael Mann
Jonathan Hock
Markus Schleinzer
Scott Aukerman
Tony Gilroy
Neil Jordan
Jonah Hill
Ava DuVernay
Scott Leberecht
Waldo Salt
Oliver Stone
Luke Lorentzen
Woody Allen
John Lee Hancock
Sally Sussman
George Gallo
Jeff Nichols
Eric Kirsten
Ari Aster
Woody Allen
Donald S. Sanford
Charles Leavitt
Steven Brill
Debbie Goodstein
John Orloff
Matt Allen
Hampton Fancher
Ranald MacDougall
Lea Carpenter
Dale Kutzera
Dustin Lance Black
Claudia Llosa
Tom McCarthy
Nicholas Klein
Frank Cottrell Boyce
Chang-dong Lee
Masaaki Yuasa
Eddie Mensore
Brian Lynch
John Cassavetes
Hampton Fancher
James McBride
Steve De Jarnatt
Preston Sturges
George Seaton
Valentine Davies
Randy Brown
Mamoru Hosoda
Rula Jebreal
Penny Woolcock
William Goldman
Arthur Miller
Desmond Devenish
Autumn McAlpin
Gareth Dunnet-Alcocer
Deborah Cox
Liv Ullmann
Channing Godfrey Peoples
Karen Leigh Hopkins
Jane Goldman
Jonathan Perera
Erin O'Connor
Chris Butler
Christopher McQuarrie
Bryan Ramirez
Michael Palin
Thomas McGuane
Frank Darabont
Spike Lee
Damon Wayans
Jared Bush
Mike Horelick
Vladimir de Fontenay
Jacques Demy
Raymond Depardon
Philip Gawthorne
Charles Chaplin
Mick Davis
Kim Ki-duk
John Lee Mahin
Tommy Davis
William Monahan
Dick Christie
Walter Bernstein
Aaron Sorkin
John Briley
Brian Taylor
Ken Wardrop
